地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
北京市,,230803,215797,200894,196767,170139,150611,139990,132339,124123,113206,106604,97658,88018,77632,71895,62230,50853,,
天津市,,199095,179557,167961,172063,153209,137969,128067,123312,113548,102610,102653,91848,80485,67825,60819,49896,41473,,
河北省,,112680,93508,99962,90917,93052,81947,74020,69744,63937,61114,58892,59318,49179,42809,36825,29277,25895,,
山西省,,94391,91304,83282,79001,78056,67918,60446,58390,51919,50793,42554,37549,33847,30334,27614,23433,19008,,
内蒙古自治区,,103090,92225,86557,88303,80623,71086,65192,62973,60716,56780,48062,45750,40047,35184,31047,28080,23721,,
辽宁省,,119735,106778,102297,98090,86988,74469,70180,66150,62443,59624,55447,54741,48030,42903,37816,31480,26377,,
吉林省,,107119,100297,90778,82234,75661,66857,62900,59844,53062,49805,49835,46102,38732,33927,30112,26013,19956,,
黑龙江省,,104121,97529,90288,94140,82607,73978,68514,66168,62073,60631,57107,47545,39938,42405,34096,25658,21992,,
上海市,,262216,236279,217700,184920,191018,176383,163297,158906,152258,141766,129633,120307,83338,76108,75642,61501,47822,,
江苏省,,166161,157913,142558,128141,123839,112285,100375,91213,81571,77708,76548,70982,60437,53849,48834,42391,36220,,
浙江省,,184462,174772,163113,154576,142811,120521,99537,98452,90368,82352,67761,64799,56621,53648,50491,44602,39682,,
安徽省,,132305,118465,104463,95977,93035,83571,73035,69129,63084,60816,51618,43177,36068,32019,28850,23848,20970,,
福建省,,148080,139416,128207,118649,103976,91712,79317,76956,64519,63208,55947,49201,41592,37348,36583,34677,27159,,
江西省,,111457,109012,102246,97846,89931,80120,74844,66749,55957,47738,39356,37628,30430,28934,25533,22705,20372,,
山东省,,127958,120830,112510,103794,93662,85976,78755,70959,63176,56233,53319,52518,45803,40964,36770,31695,26764,,
河南省,,93284,91438,86681,89322,83301,68353,59171,56866,53509,47717,45988,39277,36436,33250,28998,25012,22524,,
湖北省,,146623,135198,123331,114627,103272,93369,81015,74574,68102,61121,51212,48816,45518,39246,32107,28952,24385,,
湖南省,,115976,108870,98683,87971,84226,71425,62232,55910,49931,47101,45204,41841,36381,32558,31400,26739,21407,,
广东省,,175554,171581,159036,144174,141024,125634,111233,98929,96537,90557,85565,78743,69434,61896,58143,52330,46668,,
广西壮族自治区,,111105,111447,105029,95268,87768,79025,68957,63754,52236,48101,40093,38626,36182,33162,30827,26192,22046,,
海南省,,129826,112790,101088,92199,90573,78517,68888,59332,51248,46333,41682,37584,30680,26211,23619,20028,16647,,
重庆市,,147217,149205,135736,128155,115365,102239,92787,87023,83498,78204,71712,65560,55381,47818,41326,33253,27813,,
四川省,,143430,138545,128671,133828,124631,101514,91309,86498,80634,76610,67113,63235,53854,47858,42806,36394,29754,,
贵州省,,119281,109495,103864,95520,87726,79826,72107,64338,57290,45749,39087,34906,29670,28087,25942,23656,20308,,
云南省,,122950,119189,112615,104725,94132,84202,73883,64270,53229,48879,43722,42284,34588,30110,26264,23564,20422,,
西藏自治区,,154056,145640,131623,134475,126104,116031,103906,99194,64000,60332,50876,58791,63810,52140,48289,53223,34427,,
陕西省,,139832,118458,107580,98029,94877,79714,72786,67134,63478,65546,60394,56784,48734,39550,36815,30413,23486,,
甘肃省,,117070,111817,105441,99718,94087,85197,75114,67352,58166,49957,41814,34475,34730,30173,26746,23397,20167,,
青海省,,123405,117164,109599,100798,98698,87248,78808,69678,61650,59097,60957,55466,48822,45158,44408,40976,35029,,
宁夏回族自治区,,129034,114316,109447,93039,91621,78182,76339,71581,63195,57000,49144,46198,36666,34346,31069,26749,22540,,
新疆维吾尔自治区,,119490,110854,103693,95077,89605,85516,79944,75478,65981,60859,50555,45501,38593,32633,29939,26571,21312,,